자치구,연도,외식_총매출,외식_청년매출,배달친화_청년매출,청년_배달친화_매출비중
강남구,2021,2962277304005,1139952832325,90887181907,0.0797
강남구,2022,3627224826324,1353367495233,100205258569,0.074
강남구,2023,3798004699272,1331496819034,95339281752,0.0716
강남구,2024,3670160421272,1209842100953,86320411062,0.0713
강남구,2025,3554209654831,1100470700807,73184147176,0.0665
강동구,2021,610588246302,210240134027,33806663492,0.1608
강동구,2022,709660110590,242239032252,34420593112,0.1421
강동구,2023,791229239152,253661645120,36722706202,0.1448
강동구,2024,808373274766,246810994244,33133912359,0.1342
강동구,2025,819169169923,241140334925,29416643892,0.122
강북구,2021,354596327661,133481321502,10719474618,0.0803
강북구,2022,439599156854,161295654640,10937936041,0.0678
강북구,2023,485129492404,167393669035,11128591477,0.0665
강북구,2024,482610504233,154075421888,9891070636,0.0642
강북구,2025,451434985117,138159126222,8471446626,0.0613
강서구,2021,617660421508,212131565595,24065856170,0.1134
강서구,2022,710198080598,242835781222,22612039212,0.0931
강서구,2023,763646657694,248197761511,22205763321,0.0895
강서구,2024,771523770143,240678356755,19777003943,0.0822
강서구,2025,758353076199,225134978565,17988005027,0.0799
관악구,2021,531617665112,273580069995,33322543437,0.1218
관악구,2022,656559047752,341184966818,33707649952,0.0988
관악구,2023,686772581849,339258538626,33647723045,0.0992
관악구,2024,658618928932,311024344258,28875624546,0.0928
관악구,2025,629617261856,284577578345,24775414555,0.0871
광진구,2021,595992479296,279490568059,30290189912,0.1084
광진구,2022,736490145580,346193847450,32871479829,0.095
광진구,2023,789268434095,353147008256,32936027805,0.0933
광진구,2024,778658028731,337697593152,27776116068,0.0823
광진구,2025,749362104075,314350887620,24716505191,0.0786
구로구,2021,558056347618,225465584962,29275514951,0.1298
구로구,2022,666399502188,261618018406,32778726739,0.1253
구로구,2023,718581158053,264006513550,33467621414,0.1268
구로구,2024,727011983282,256866410248,31564011705,0.1229
구로구,2025,711716983319,238179666094,28255351857,0.1186
금천구,2021,513127495152,184408325205,22788802891,0.1236
금천구,2022,579406926712,202605994371,23953341268,0.1182
금천구,2023,598304244841,196911021061,23688009832,0.1203
금천구,2024,588450256285,189508041254,22474105172,0.1186
금천구,2025,593482638427,187476992638,20100783854,0.1072
노원구,2021,503624903187,191014258969,22352727719,0.117
노원구,2022,586347609657,212853109855,22999999333,0.1081
노원구,2023,636232363859,218705675590,23865638040,0.1091
노원구,2024,617630328902,203234992756,21159851681,0.1041
노원구,2025,593173619416,186083614428,18312680815,0.0984
도봉구,2021,246390261947,69184216578,10009230547,0.1447
도봉구,2022,283231265072,77106265054,10021182746,0.13
도봉구,2023,300299471223,76131553815,9644549999,0.1267
도봉구,2024,303668560933,71906125756,8775257064,0.122
도봉구,2025,303930163013,66784842838,8054841755,0.1206
동대문구,2021,471192161999,168272799898,15948745544,0.0948
동대문구,2022,555862696774,198488611115,16520642474,0.0832
동대문구,2023,612670861465,206211880519,18214289868,0.0883
동대문구,2024,616063234009,195328152594,16587437792,0.0849
동대문구,2025,609569544166,183713834135,15811242174,0.0861
동작구,2021,553970062138,238293281269,34530360038,0.1449
동작구,2022,682210038687,287522408856,34679729043,0.1206
