자치구,연도,공공체육시설수,민간체육시설수,총체육시설수
강남구,2010,,872.0,872.0
강남구,2011,277.0,1119.0,1396.0
강남구,2012,277.0,1153.0,1430.0
강남구,2013,277.0,1040.0,1317.0
강남구,2014,278.0,1034.0,1312.0
강남구,2015,278.0,1267.0,1545.0
강남구,2016,278.0,1295.0,1573.0
강남구,2017,278.0,1172.0,1450.0
강남구,2018,291.0,1336.0,1627.0
강남구,2019,291.0,1064.0,1355.0
강남구,2020,292.0,1064.0,1356.0
강남구,2021,292.0,1199.0,1491.0
강남구,2022,293.0,1209.0,1502.0
강남구,2023,296.0,1375.0,1671.0
강남구,2024,298.0,1414.0,1712.0
강동구,2010,,573.0,573.0
강동구,2011,58.0,588.0,646.0
강동구,2012,58.0,558.0,616.0
강동구,2013,58.0,579.0,637.0
강동구,2014,59.0,579.0,638.0
강동구,2015,59.0,562.0,621.0
강동구,2016,59.0,600.0,659.0
강동구,2017,59.0,608.0,667.0
강동구,2018,64.0,578.0,642.0
강동구,2019,67.0,469.0,536.0
강동구,2020,64.0,469.0,533.0
강동구,2021,64.0,409.0,473.0
강동구,2022,64.0,449.0,513.0
강동구,2023,64.0,483.0,547.0
강동구,2024,68.0,514.0,582.0
강북구,2010,,297.0,297.0
강북구,2011,66.0,294.0,360.0
강북구,2012,66.0,299.0,365.0
강북구,2013,66.0,277.0,343.0
강북구,2014,67.0,293.0,360.0
강북구,2015,129.0,289.0,418.0
강북구,2016,129.0,327.0,456.0
강북구,2017,129.0,294.0,423.0
강북구,2018,129.0,249.0,378.0
강북구,2019,130.0,225.0,355.0
강북구,2020,130.0,223.0,353.0
강북구,2021,130.0,223.0,353.0
강북구,2022,122.0,250.0,372.0
강북구,2023,148.0,258.0,406.0
강북구,2024,148.0,263.0,411.0
강서구,2010,,571.0,571.0
강서구,2011,157.0,576.0,733.0
강서구,2012,159.0,572.0,731.0
강서구,2013,158.0,503.0,661.0
강서구,2014,157.0,513.0,670.0
강서구,2015,160.0,586.0,746.0
강서구,2016,159.0,606.0,765.0
강서구,2017,159.0,638.0,797.0
강서구,2018,161.0,632.0,793.0
강서구,2019,165.0,582.0,747.0
강서구,2020,166.0,582.0,748.0
강서구,2021,166.0,693.0,859.0
강서구,2022,166.0,696.0,862.0
강서구,2023,170.0,725.0,895.0
강서구,2024,175.0,779.0,954.0
관악구,2010,,484.0,484.0
관악구,2011,152.0,485.0,637.0
관악구,2012,152.0,473.0,625.0
관악구,2013,152.0,462.0,614.0
관악구,2014,152.0,336.0,488.0
관악구,2015,152.0,345.0,497.0
관악구,2016,152.0,369.0,521.0
관악구,2017,155.0,374.0,529.0
관악구,2018,157.0,357.0,514.0
관악구,2019,157.0,381.0,538.0
관악구,2020,158.0,381.0,539.0
관악구,2021,158.0,367.0,525.0
관악구,2022,159.0,410.0,569.0
관악구,2023,161.0,427.0,588.0
관악구,2024,160.0,451.0,611.0
광진구,2010,,567.0,567.0
광진구,2011,28.0,592.0,620.0
광진구,2012,235.0,570.0,805.0
광진구,2013,235.0,525.0,760.0
광진구,2014,235.0,518.0,753.0
광진구,2015,95.0,561.0,656.0
광진구,2016,97.0,564.0,661.0
광진구,2017,99.0,569.0,668.0
광진구,2018,102.0,351.0,453.0
광진구,2019,104.0,359.0,463.0
광진구,2020,104.0,362.0,466.0
광진구,2021,107.0,341.0,448.0
광진구,2022,110.0,357.0,467.0
광진구,2023,115.0,552.0,667.0
광진구,2024,115.0,343.0,458.0
구로구,2010,,461.0,461.0
구로구,2011,89.0,469.0,558.0
구로구,2012,89.0,452.0,541.0
구로구,2013,90.0,423.0,513.0
구로구,2014,93.0,426.0,519.0
구로구,2015,95.0,458.0,553.0
구로구,2016,96.0,467.0,563.0
구로구,2017,110.0,474.0,584.0
구로구,2018,156.0,460.0,616.0
구로구,2019,156.0,485.0,641.0
구로구,2020,156.0,486.0,642.0
구로구,2021,156.0,391.0,547.0
구로구,2022,158.0,408.0,566.0
구로구,2023,166.0,415.0,581.0
구로구,2024,167.0,404.0,571.0
금천구,2010,,296.0,296.0
금천구,2011,79.0,319.0,398.0
금천구,2012,79.0,296.0,375.0
금천구,2013,80.0,300.0,380.0
금천구,2014,82.0,261.0,343.0
금천구,2015,82.0,290.0,372.0
금천구,2016,82.0,296.0,378.0
금천구,2017,82.0,289.0,371.0
금천구,2018,83.0,294.0,377.0
금천구,2019,87.0,306.0,393.0
금천구,2020,88.0,306.0,394.0
금천구,2021,92.0,313.0,405.0
금천구,2022,110.0,319.0,429.0
금천구,2023,83.0,268.0,351.0
금천구,2024,87.0,315.0,402.0
노원구,2010,,424.0,424.0
노원구,2011,229.0,423.0,652.0
노원구,2012,229.0,438.0,667.0
노원구,2013,229.0,415.0,644.0
노원구,2014,230.0,415.0,645.0
노원구,2015,229.0,455.0,684.0
노원구,2016,230.0,451.0,681.0
노원구,2017,231.0,464.0,695.0
노원구,2018,230.0,468.0,698.0
노원구,2019,233.0,382.0,615.0
노원구,2020,232.0,383.0,615.0
노원구,2021,230.0,439.0,669.0
노원구,2022,232.0,478.0,710.0
노원구,2023,232.0,467.0,699.0
노원구,2024,234.0,510.0,744.0
도봉구,2010,,290.0,290.0
도봉구,2011,77.0,294.0,371.0
도봉구,2012,77.0,273.0,350.0
도봉구,2013,77.0,244.0,321.0
도봉구,2014,77.0,249.0,326.0
도봉구,2015,77.0,263.0,340.0
도봉구,2016,98.0,268.0,366.0
도봉구,2017,99.0,278.0,377.0
도봉구,2018,100.0,279.0,379.0
도봉구,2019,100.0,272.0,372.0
도봉구,2020,100.0,272.0,372.0
도봉구,2021,102.0,280.0,382.0
도봉구,2022,101.0,302.0,403.0
도봉구,2023,101.0,347.0,448.0
도봉구,2024,103.0,342.0,445.0
동대문구,2010,,469.0,469.0
동대문구,2011,69.0,473.0,542.0
동대문구,2012,52.0,469.0,521.0
동대문구,2013,52.0,231.0,283.0
동대문구,2014,52.0,244.0,296.0
동대문구,2015,52.0,515.0,567.0
동대문구,2016,52.0,526.0,578.0
동대문구,2017,52.0,451.0,503.0
동대문구,2018,52.0,361.0,413.0
동대문구,2019,52.0,286.0,338.0
동대문구,2020,52.0,287.0,339.0
동대문구,2021,62.0,343.0,405.0
동대문구,2022,62.0,347.0,409.0
동대문구,2023,62.0,370.0,432.0
동대문구,2024,62.0,369.0,431.0
동작구,2010,,340.0,340.0
동작구,2011,33.0,400.0,433.0
동작구,2012,33.0,366.0,399.0
동작구,2013,33.0,339.0,372.0
동작구,2014,33.0,342.0,375.0
동작구,2015,120.0,368.0,488.0
동작구,2016,120.0,370.0,490.0
동작구,2017,121.0,379.0,500.0
동작구,2018,121.0,313.0,434.0
동작구,2019,122.0,263.0,385.0
동작구,2020,122.0,263.0,385.0
동작구,2021,125.0,283.0,408.0
동작구,2022,125.0,306.0,431.0
동작구,2023,127.0,326.0,453.0
동작구,2024,128.0,329.0,457.0
마포구,2010,,473.0,473.0
마포구,2011,89.0,465.0,554.0
마포구,2012,90.0,449.0,539.0
마포구,2013,90.0,282.0,372.0
