자치구,연도,외식업_총점포수,프랜차이즈_점포수,배달친화_점포수,배달친화_점포비중
강남구,2021,39241,9477,3864,0.0985
강남구,2022,40571,9611,4058,0.1
강남구,2023,41312,9694,4022,0.0974
강남구,2024,41518,9444,3953,0.0952
강남구,2025,40629,9056,3778,0.093
강동구,2021,14850,3829,1755,0.1182
강동구,2022,15166,4000,1867,0.1231
강동구,2023,15202,4088,1858,0.1222
강동구,2024,15063,4042,1818,0.1207
강동구,2025,14635,3899,1733,0.1184
강북구,2021,10091,2155,1233,0.1222
강북구,2022,10258,2292,1234,0.1203
강북구,2023,10360,2328,1254,0.121
강북구,2024,10202,2207,1201,0.1177
강북구,2025,9765,2140,1094,0.112
강서구,2021,16548,4586,2006,0.1212
강서구,2022,17296,4955,1985,0.1148
강서구,2023,17550,5096,2007,0.1144
강서구,2024,17902,5063,2053,0.1147
강서구,2025,17459,4716,1995,0.1143
관악구,2021,14487,3503,2081,0.1436
관악구,2022,14838,3670,2104,0.1418
관악구,2023,15064,3673,2059,0.1367
관악구,2024,15118,3706,1990,0.1316
관악구,2025,14385,3521,1793,0.1246
광진구,2021,14467,3754,1584,0.1095
광진구,2022,14933,3981,1657,0.111
광진구,2023,15097,4021,1688,0.1118
광진구,2024,15222,3807,1675,0.11
광진구,2025,14849,3583,1592,0.1072
구로구,2021,13493,3657,1588,0.1177
구로구,2022,13805,3820,1652,0.1197
구로구,2023,13964,3898,1658,0.1187
구로구,2024,14003,3807,1592,0.1137
구로구,2025,13576,3652,1516,0.1117
금천구,2021,10390,3263,1237,0.1191
금천구,2022,10843,3516,1266,0.1168
금천구,2023,11074,3585,1294,0.1169
금천구,2024,11199,3595,1265,0.113
금천구,2025,11031,3536,1225,0.1111
노원구,2021,10183,3418,1478,0.1451
노원구,2022,10381,3533,1453,0.14
노원구,2023,10494,3563,1476,0.1407
노원구,2024,10530,3548,1523,0.1446
노원구,2025,10112,3422,1386,0.1371
도봉구,2021,7667,1620,1042,0.1359
도봉구,2022,7770,1689,1059,0.1363
도봉구,2023,7792,1710,1058,0.1358
도봉구,2024,7652,1766,994,0.1299
도봉구,2025,7355,1684,910,0.1237
동대문구,2021,13783,2887,1524,0.1106
동대문구,2022,14119,3057,1601,0.1134
동대문구,2023,14360,3129,1680,0.117
동대문구,2024,14575,3141,1736,0.1191
동대문구,2025,14288,2920,1674,0.1172
동작구,2021,11087,3283,1437,0.1296
동작구,2022,11206,3299,1458,0.1301
동작구,2023,11411,3268,1525,0.1336
동작구,2024,11520,3294,1506,0.1307
동작구,2025,11206,3169,1462,0.1305
마포구,2021,29215,5339,2792,0.0956
마포구,2022,30771,5556,2889,0.0939
마포구,2023,31899,5614,2943,0.0923
마포구,2024,32260,5534,2950,0.0914
마포구,2025,31258,5304,2840,0.0909
서대문구,2021,11912,2680,1376,0.1155
서대문구,2022,12219,2719,1408,0.1152
서대문구,2023,12287,2716,1429,0.1163
서대문구,2024,12420,2659,1461,0.1176
서대문구,2025,12124,2539,1422,0.1173
서초구,2021,23005,6295,2218,0.0964
서초구,2022,23394,6363,2252,0.0963
서초구,2023,23617,6395,2261,0.0957
서초구,2024,23900,6350,2280,0.0954
서초구,2025,23611,6244,2318,0.0982
성동구,2021,11881,2671,1268,0.1067
성동구,2022,12601,2695,1311,0.104
성동구,2023,13334,2731,1428,0.1071
성동구,2024,13753,2675,1475,0.1072
성동구,2025,13607,2520,1492,0.1096
성북구,2021,11638,2904,1567,0.1346
성북구,2022,12092,3045,1552,0.1283
성북구,2023,12378,3105,1587,0.1282
성북구,2024,12420,3085,1601,0.1289
성북구,2025,12155,3012,1532,0.126
송파구,2021,25752,7368,2942,0.1142
송파구,2022,26642,7641,2999,0.1126
송파구,2023,27307,7872,3125,0.1144
송파구,2024,27480,7857,3129,0.1139
송파구,2025,26982,7529,2997,0.1111
양천구,2021,10246,2864,1449,0.1414
양천구,2022,10535,3062,1449,0.1375
양천구,2023,10707,3152,1452,0.1356
양천구,2024,10554,3040,1366,0.1294
양천구,2025,10136,2834,1215,0.1199
영등포구,2021,20450,4931,1896,0.0927
영등포구,2022,20999,4977,1957,0.0932
영등포구,2023,21664,5122,1927,0.0889
영등포구,2024,22167,5156,1919,0.0866
영등포구,2025,22186,4972,1874,0.0845
용산구,2021,17919,2526,1760,0.0982
용산구,2022,19009,2613,1802,0.0948
용산구,2023,19896,2820,1852,0.0931
용산구,2024,20105,2903,1825,0.0908
용산구,2025,19954,2743,1733,0.0868
은평구,2021,11984,2962,1707,0.1424
은평구,2022,12384,3104,1690,0.1365
은평구,2023,12433,3148,1653,0.133
은평구,2024,12336,3060,1626,0.1318
은평구,2025,11777,2835,1532,0.1301
종로구,2021,25679,4472,2513,0.0979
종로구,2022,26230,4476,2501,0.0953
종로구,2023,26957,4503,2510,0.0931
종로구,2024,27303,4529,2505,0.0917
종로구,2025,27189,4440,2439,0.0897
중구,2021,25394,6428,2753,0.1084
중구,2022,25797,6371,2786,0.108
중구,2023,26814,6510,2832,0.1056
중구,2024,27718,6588,3057,0.1103
중구,2025,28026,6360,3177,0.1134
중랑구,2021,11173,2219,1434,0.1283
중랑구,2022,11528,2383,1449,0.1257
중랑구,2023,11642,2499,1452,0.1247
중랑구,2024,11743,2506,1436,0.1223
중랑구,2025,11369,2361,1350,0.1187
